file,metric_value,git_blob_id,sha256
"final result/15/RMSE_merge.txt",5.808245138955732756e+01,d8097e09b51f23805e619d8384b05c51a9155fe2,32644BCC0F7756780AA056D995D6C2867AA4E31986990721BF3C7D1DFF2380D3
"final result/15/R2_merge.txt",9.674759290005567891e-01,daf1c593b910b224d341fe53e161234c06fa59cd,F3168D85F48428F7568BE8D1C84160E1D84A6D816BBE0311F556B4C080D62C6D
"final result/15/MAE_merge.txt",3.327364389233954967e+01,9b40fe69a4af4e682fef1e8640796a1acaa20f41,12FA86BA9337FB0130B911BBBB9C8318AA2B4D28FC6417ED7710A97611D1C30D
"final result/15/WMAPE_merge.txt",6.265100176020839406e-02,bdcce9910b9bd62a17efe729b650cdd62cd382be,9475D6A3E565270DE103195D48B5C0D8A4AC648987EDF3251D35436D86D5C183
