exp_id,run_dir,input_branches,has_video,layernorm_count,dropout_layer_count,dense_l2_count,residual_attention_enhance,optimizer_clipnorm,video_file,video_sha256,epoch_points,final_epoch,final_rmse,final_mae,final_r2,final_wmape,best_epoch,best_rmse,best_mae,best_r2,best_wmape,notes
E1,saved_runs/run_20260407_150222/testresult,4,false,0,0,0,false,false,,,"25;35;50;60;70;80;90;100;110;120;130;140;150;160;170",170,47.782113,28.677495,0.943815,0.106956,90,38.074737,22.676934,0.956774,0.084888,"25/35 are old leftover files (2026-01-10)"
E2,saved_runs/noisy_video_backup_20260419_144958/testresult,5,true,5,7,7,true,true,saved_runs/noisy_video_backup_20260419_144958/video_15min_noisy.csv,EB67AB5FA82E0A5BC81F2D03C213641CAEFB8B8D41E66FD4B3A7B54782A54B71,"25;35;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190",190,80.572369,46.716963,0.903761,0.171426,170,73.369644,40.564799,0.912753,0.150400,"25/35 are old leftover files (2026-01-10)"
E3,saved_runs/clean_video_run_20260419_163315/testresult,5,true,5,7,7,true,true,saved_runs/clean_video_run_20260419_163315/video_15min_used.csv,5EECCA3FDD7DB63D85A428114053900926F56C008FC84DCAD6A6E2172E09EC6E,"50;60;70;80;90;100;110;120;130;140;150;160;170;180;190",190,90.030728,50.022107,0.886305,0.184021,170,79.766489,43.145336,0.907116,0.160269,"same model structure as E2; data changed to clean video proxy"
E4,saved_runs/baseline_no_video_run_20260419_210757/testresult,4,false,4,6,6,true,true,,,"50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250",250,73.206591,40.519800,0.919172,0.150230,80,60.820846,33.795479,0.933189,0.125514,"known command includes --disable_video --total_rounds 21 --start_epoch 50"
